Category	Scope 1	Scope 2	Scope 3	"Carbon footprint 2020-21 (tonnes CO2e) (scopes 1,2&3)"	Additional outside of scopes
Buildings & utilities	1253.844035	4387.972003	1245.545303	6887.361342	
Transport	590.4990162	0	3446.284029	4036.783045	181.46984
Waste	0	0	39320.32708	39320.32708	0
Schools (maintained)	0	0	7397.171915	7397.171915	0
Agriculture	0	0	14510.71398	14510.71398	
"Land use, land use change and forestry"	0	0	24490.34913	24490.34913	
Construction materials	0	0	4978.731762	4978.731762	
Highways materials	0	0	11979.79	11979.79	
Other	0	0	0	0	
Gross Total	1844.343052	4387.972003	107368.9132	113601.2283	181.46984
100% green electricity	0	-4387.972003	0	-4387.972003	
solar assets	0	0	-3084.755074	-3084.755074	
Total reduction	0	-4387.972003	-3084.755074	-7472.727077	
Net Total	1844.343052	0	104284.1581	106128.5012	181.46984
